,count,mean,std,min,median,max
PART_FACT_SERIAL,7996.0,11.2487,5.0052,2.0,10.0,24.0
Injection_Time,7996.0,8.2422,3.1077,1.05,9.56,16.31
Filling_Time,7996.0,3.8963,1.2845,0.93,4.44,8.27
Plasticizing_Time,7996.0,16.2095,1.4437,10.92,16.8,21.12
Cycle_Time,7996.0,59.9009,0.8857,58.84,59.52,66.86
Clamp_Close_Time,7996.0,7.0641,0.1366,5.16,7.12,7.18
Cushion_Position,7996.0,653.4082,10.1651,11.1,653.44,655.08
Switch_Over_Position,7996.0,0.3303,14.6549,0.0,0.0,655.31
Plasticizing_Position,7996.0,66.0545,5.4182,53.55,68.34,68.86
Clamp_Open_Position,7996.0,544.2441,236.3514,4.63,647.99,883.7
Max_Injection_Speed,7996.0,66.9236,26.4602,22.3,55.6,128.5
Max_Screw_RPM,7996.0,30.702,0.1592,27.1,30.7,31.2
Average_Screw_RPM,7996.0,149.0234,130.8288,25.5,29.2,293.9
Max_Injection_Pressure,7996.0,142.188,1.9511,134.8,142.0,183.2
Max_Switch_Over_Pressure,7996.0,133.3576,7.3554,109.7,136.5,146.7
Max_Back_Pressure,7996.0,40.7067,6.879,2.8,38.0,75.2
Average_Back_Pressure,7996.0,59.5793,3.4031,13.3,59.6,90.8
Barrel_Temperature_1,7996.0,277.457,6.1016,0.0,276.2,287.1
Barrel_Temperature_2,7996.0,276.706,4.0886,244.8,275.4,286.5
Barrel_Temperature_3,7996.0,276.4431,4.0995,245.0,275.0,285.8
Barrel_Temperature_4,7996.0,271.0754,2.676,239.6,270.7,276.8
Barrel_Temperature_5,7996.0,256.5074,3.8376,235.3,255.0,270.4
Barrel_Temperature_6,7996.0,230.7633,1.9454,220.0,230.1,264.3
Hopper_Temperature,7996.0,66.4587,2.5772,0.0,66.7,70.6
Mold_Temperature_3,7996.0,22.1453,1.1775,0.0,22.0,25.3
Mold_Temperature_4,7996.0,23.5226,1.3566,0.0,23.4,27.8
